case_id,act_name,section_no_title,section_title,legal_text,case_type,case_facts,case_summary,petitioner,respondent,court_name,judge_name,filing_date,judgment_date,outcome,judgment_reason,citation,state,police_station_or_forum,advocate_name
INDLAW-1001,Code of Criminal Procedure (CrPC),Section 41 - Arrest without warrant,Arrest without warrant,Synthetic summary of Section 41 - Arrest without warrant. This entry is generated for academic and project use only and does not reproduce official statutory text.,Consumer Complaint,Nostrum explicabo eveniet odit minus. Nobis sunt labore facilis voluptatem minus.,"This case concerns Section 41 - Arrest without warrant under the Code of Criminal Procedure (CrPC), involving allegations reviewed by the court based on submitted facts and records.",Amruta Ahluwalia,Chavvi D’Alia,"District Court, Chennai",Eiravati Balakrishnan,2021-12-06,2025-09-13,Convicted,constitutional remedy granted,854 AIR 2003 693,Delhi,Local Police Station,Anirudh Parikh
INDLAW-1002,GST Act,Section 16 - Eligibility for input tax credit,Eligibility for input tax credit,Synthetic summary of Section 16 - Eligibility for input tax credit. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Mollitia praesentium voluptate quam iste ipsam praesentium veritatis.,"This case concerns Section 16 - Eligibility for input tax credit under the GST Act, involving allegations reviewed by the court based on submitted facts and records.",Isha Gara,Aditya Kari,High Court of Madras,Pratyush Dugar,2020-07-27,2026-02-28,Convicted,electronic evidence accepted,617 AIR 2019 28,Karnataka,GST Intelligence Unit,Vrinda Dhar
INDLAW-1003,"Consumer Protection Act, 2019",Section 38 - Procedure on admission of complaint,Procedure on admission of complaint,Synthetic summary of Section 38 - Procedure on admission of complaint. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Mollitia et accusamus quis dolorem. Aperiam iusto omnis eos animi laboriosam.,"This case concerns Section 38 - Procedure on admission of complaint under the Consumer Protection Act, 2019, involving allegations reviewed by the court based on submitted facts and records.",Krishna Lala,Daniel Sani,Cyber Crime Court,Aarna Chawla,2022-01-01,2025-12-10,Acquitted,lack of evidence,877 AIR 2025 164,West Bengal,Consumer Forum,Lucky Deep
INDLAW-1004,Constitution of India,Article 19 - Freedom of speech and expression,Freedom of speech and expression,Synthetic summary of Article 19 - Freedom of speech and expression. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Fugiat quam neque. Ipsam nostrum ex aliquam placeat. Veniam error sequi rem. Voluptate deleniti reiciendis.,"This case concerns Article 19 - Freedom of speech and expression under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Balhaar Mangat,Panini Jaggi,Consumer Disputes Redressal Commission,Yachana Samra,2018-09-19,2026-01-09,Dismissed,procedural violation,489 AIR 2003 368,Telangana,Local Police Station,Eta Loyal
INDLAW-1005,Constitution of India,Article 14 - Equality before law,Equality before law,Synthetic summary of Article 14 - Equality before law. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,Vero quae earum tempora iste asperiores consequuntur. Sapiente consequuntur itaque neque. Repudiandae placeat atque animi odio cum. Sit harum eius sint aliquid hic rerum.,"This case concerns Article 14 - Equality before law under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Vinaya Modi,Lila Kumar,High Court of Madras,Irya Kakar,2024-12-12,2026-03-14,Settled,procedural violation,665 AIR 2009 850,Telangana,Local Police Station,Divya Murty
INDLAW-1006,"Information Technology Act, 2000",Section 43 - Penalty for damage to computer systems,Penalty for damage to computer systems,Synthetic summary of Section 43 - Penalty for damage to computer systems. This entry is generated for academic and project use only and does not reproduce official statutory text.,Criminal Appeal,Corrupti inventore inventore autem pariatur impedit mollitia. Adipisci earum tenetur tempora ad sed blanditiis.,"This case concerns Section 43 - Penalty for damage to computer systems under the Information Technology Act, 2000, involving allegations reviewed by the court based on submitted facts and records.",Tanveer Nanda,Harsh Chand,"District Court, Chennai",Ishaan Arora,2023-01-05,2026-01-18,Acquitted,procedural violation,975 AIR 2007 888,Delhi,Labour Commissioner Office,Baghyawati Bose
INDLAW-1007,Constitution of India,Article 32 - Constitutional remedies,Constitutional remedies,Synthetic summary of Article 32 - Constitutional remedies. This entry is generated for academic and project use only and does not reproduce official statutory text.,Tax Dispute,Soluta reprehenderit aliquam facilis cum reiciendis occaecati.,"This case concerns Article 32 - Constitutional remedies under the Constitution of India, involving allegations reviewed by the court based on submitted facts and records.",Faras Bajaj,Jonathan Saraf,High Court of Delhi,Wyatt Pandya,2021-06-10,2026-01-19,Remanded,tax demand confirmed,314 AIR 2021 274,Delhi,Local Police Station,Laksh Khosla
INDLAW-1008,Code of Civil Procedure (CPC),Section 11 - Res judicata,Res judicata,Synthetic summary of Section 11 - Res judicata. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Id iure eveniet soluta eum reiciendis cupiditate facilis. Sapiente consequatur laboriosam doloremque. Enim rem eaque voluptate et.,"This case concerns Section 11 - Res judicata under the Code of Civil Procedure (CPC), involving allegations reviewed by the court based on submitted facts and records.",Faras Dara,Amara Purohit,High Court of Delhi,Hemani Tata,2018-12-09,2025-05-27,Pending,labour benefit granted,376 AIR 2020 705,Karnataka,GST Intelligence Unit,Oscar Lata
INDLAW-1009,"Indian Evidence Act, 1872",Section 24 - Confession caused by inducement,Confession caused by inducement,Synthetic summary of Section 24 - Confession caused by inducement. This entry is generated for academic and project use only and does not reproduce official statutory text.,Bail Application,Nihil vero officiis quae quas quaerat consequatur commodi. Cupiditate dolore corporis voluptates. Perspiciatis ipsum harum dolore autem facere enim nisi.,"This case concerns Section 24 - Confession caused by inducement under the Indian Evidence Act, 1872, involving allegations reviewed by the court based on submitted facts and records.",Ekantika Karan,Pooja Singhal,Supreme Court of India,Mohini Narasimhan,2019-11-18,2025-07-05,Remanded,labour benefit granted,374 AIR 2002 217,Telangana,Cyber Cell,Krishna Sen
INDLAW-1010,Labour Laws,Factories Act - Health and safety provisions,Health and safety provisions,Synthetic summary of Factories Act - Health and safety provisions. This entry is generated for academic and project use only and does not reproduce official statutory text.,Cyber Crime Case,Eligendi deleniti amet omnis ab ipsa voluptatibus. Minus optio fuga sint expedita. Quo illo asperiores explicabo quo quas excepturi.,"This case concerns Factories Act - Health and safety provisions under the Labour Laws, involving allegations reviewed by the court based on submitted facts and records.",Champak Aurora,Dakshesh Batta,High Court of Delhi,Keya Rana,2024-02-13,2026-04-27,Acquitted,constitutional remedy granted,352 AIR 2023 575,Kerala,GST Intelligence Unit,Chanakya Venkataraman
